service_id,service_name_canonical,domain,axis_type,web_target_group_id,eligibility_basis,canonical_service_key,web_eligibility_status,web_target_url,url_confidence,observation_confidence,final_registered_domain,redirect_hops,mobile_candidates_live,candidate_landings,eligibility_rule,url_evidence,review_reasons,needs_human_review,eligibility_reviewer,eligibility_reviewed_at,_status,_base_sha,_shadow_lane,_created_before_p0_close,_authoritative,_real_target_outcome_used,_real_target_measurement,_requires_post_p0_reconciliation
svc_49a5eca8b58f7270,11번가,APP,SERVICE_BRAND,wtg_49a5eca8b58f7270,[MOBILE UA] https://www.11st.co.kr/ → HTTP 200 · 페이지 제목 '11번가' · 등록도메인(PSL) 11st.co.kr · viewport meta 없음,11st,ELIGIBLE_WEB,https://www.11st.co.kr/,HIGH,HIGH,11st.co.kr,0.0,2,"www.11st.co.kr/,www.11stcorp.com/",E-2,[MOBILE UA] https://www.11st.co.kr/ → HTTP 200 · 페이지 제목 '11번가' · 등록도메인(PSL) 11st.co.kr · viewport meta 없음,CANDIDATE_REGISTERED_DOMAIN_CONFLICT,True,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_a215c45b2cc585ca,에이닷 전화,APP,SERVICE_BRAND,wtg_a215c45b2cc585ca,"[MOBILE UA] https://a.sktelecom.com/ → HTTP 200 · 페이지 제목 '나만의 AI 개인비서, 에이닷' · 등록도메인(PSL) sktelecom.com · viewport meta 있음 · 앱스토어 신호 'onelink.me'",adot_call,ELIGIBLE_WEB,https://a.sktelecom.com/,HIGH,HIGH,sktelecom.com,0.0,3,"a.sktelecom.com/,www.skt-phone.co.kr/",E-2,"[MOBILE UA] https://a.sktelecom.com/ → HTTP 200 · 페이지 제목 '나만의 AI 개인비서, 에이닷' · 등록도메인(PSL) sktelecom.com · viewport meta 있음 · 앱스토어 신호 'onelink.me'",CANDIDATE_REGISTERED_DOMAIN_CONFLICT,True,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_65f15ce8fee25b24,밴드,APP,SERVICE_BRAND,wtg_65f15ce8fee25b24,[MOBILE UA] https://band.us/ → HTTP 200 · 최종 URL https://www.band.us/ · 리다이렉트 1회 · 페이지 제목 '밴드-모임이 쉬워진다' · 등록도메인(PSL) band.us · viewport meta 있음,band,ELIGIBLE_WEB,https://www.band.us/,HIGH,HIGH,band.us,1.0,2,"www.band.us/,www.band.us/ko",E-2,[MOBILE UA] https://band.us/ → HTTP 200 · 최종 URL https://www.band.us/ · 리다이렉트 1회 · 페이지 제목 '밴드-모임이 쉬워진다' · 등록도메인(PSL) band.us · viewport meta 있음,,False,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_e1fadb214cde51c0,캐시워크,APP,SERVICE_BRAND,wtg_e1fadb214cde51c0,"[MOBILE UA] https://cashwalk.com/ → HTTP 200 · 페이지 제목 '캐시워크 - 걸으면 돈버는 앱 1위! 만보기, 앱테크, 현금 이벤트까지' · 등록도메인(PSL) cashwalk.com · viewport meta 있음 · 앱스토어 신호 'apps.apple.com'",cashwalk,ELIGIBLE_WEB,https://cashwalk.com/,HIGH,HIGH,cashwalk.com,0.0,1,cashwalk.com/,E-2,"[MOBILE UA] https://cashwalk.com/ → HTTP 200 · 페이지 제목 '캐시워크 - 걸으면 돈버는 앱 1위! 만보기, 앱테크, 현금 이벤트까지' · 등록도메인(PSL) cashwalk.com · viewport meta 있음 · 앱스토어 신호 'apps.apple.com'",,False,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_9390ef32addf32bf,Chrome,APP,SERVICE_BRAND,wtg_9390ef32addf32bf,[MOBILE UA] https://www.google.com/chrome/ → HTTP 200 · 페이지 제목 'Chrome - 원하는 대로 활용할 수 있는 빠르고 안전한 웹브라우저' · 등록도메인(PSL) google.com · viewport meta 있음,chrome,ELIGIBLE_WEB,https://www.google.com/chrome/,HIGH,HIGH,google.com,0.0,3,www.google.com/chrome,E-2,[MOBILE UA] https://www.google.com/chrome/ → HTTP 200 · 페이지 제목 'Chrome - 원하는 대로 활용할 수 있는 빠르고 안전한 웹브라우저' · 등록도메인(PSL) google.com · viewport meta 있음,,False,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_79cd0e07c1eac5dc,쿠팡,APP,SERVICE_BRAND,wtg_5b8c59f6fd9839f7,확인된 후보가 기업·지원·파트너 사이트뿐이다 (https://news.coupang.com/company/). 소비자 서비스 랜딩을 확정하지 못했다.,coupang_app,UNDETERMINED_URL_EVIDENCE,,LOW,LOW,,,1,,E-5,확인된 후보가 기업·지원·파트너 사이트뿐이다 (https://news.coupang.com/company/). 소비자 서비스 랜딩을 확정하지 못했다.,"LANDING_NOT_SEEN_BOT_BLOCKED,ONLY_ANCILLARY_CORPORATE_SITE_CONFIRMED,STATUS_UNDETERMINED_URL_EVIDENCE",True,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_46e5a43370f75308,당근,APP,SERVICE_BRAND,wtg_46e5a43370f75308,[MOBILE UA] https://www.daangn.com/kr → HTTP 200 · 최종 URL https://www.daangn.com/kr/ · 리다이렉트 1회 · 페이지 제목 '당신 근처의 당근' · 등록도메인(PSL) daangn.com · viewport meta 있음 · 앱스토어 신호 'apps.apple.com',danggeun,ELIGIBLE_WEB,https://www.daangn.com/kr/,HIGH,HIGH,daangn.com,1.0,3,www.daangn.com/kr,E-2,[MOBILE UA] https://www.daangn.com/kr → HTTP 200 · 최종 URL https://www.daangn.com/kr/ · 리다이렉트 1회 · 페이지 제목 '당신 근처의 당근' · 등록도메인(PSL) daangn.com · viewport meta 있음 · 앱스토어 신호 'apps.apple.com',,False,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_91b952863c62993d,다음,APP,SERVICE_BRAND,wtg_91b952863c62993d,[MOBILE UA] https://www.daum.net/ → HTTP 200 · 최종 URL https://m.daum.net/?nil_top=mobile · 리다이렉트 1회 · 페이지 제목 'Daum' · 등록도메인(PSL) daum.net · viewport meta 있음 · 앱스토어 신호 'market://',daum,ELIGIBLE_WEB,https://m.daum.net/?nil_top=mobile,HIGH,HIGH,daum.net,1.0,1,"m.daum.net/,m.daum.net/site.daum",E-2,[MOBILE UA] https://www.daum.net/ → HTTP 200 · 최종 URL https://m.daum.net/?nil_top=mobile · 리다이렉트 1회 · 페이지 제목 'Daum' · 등록도메인(PSL) daum.net · viewport meta 있음 · 앱스토어 신호 'market://',"LANDING_NOT_SEEN_BOT_BLOCKED,MOBILE_DESKTOP_FINAL_URL_DIVERGE",True,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_cdce1ffd6b1b1e24,디바이스 케어,APP,SERVICE_BRAND,wtg_cdce1ffd6b1b1e24,[MOBILE UA] https://www.samsungsvc.co.kr/solution/42404 → HTTP 200 · 페이지 제목 '[삼성 스마트폰] 디바이스 케어 기능 사용방법이 궁금해요.' · 등록도메인(PSL) samsungsvc.co.kr · viewport meta 있음,device_care,ELIGIBLE_WEB,https://www.samsungsvc.co.kr/solution/42404,HIGH,HIGH,samsungsvc.co.kr,0.0,3,"apps.microsoft.com/detail/9nblggh4xdv0,www.samsungsvc.co.kr/solution/42404",E-2,[MOBILE UA] https://www.samsungsvc.co.kr/solution/42404 → HTTP 200 · 페이지 제목 '[삼성 스마트폰] 디바이스 케어 기능 사용방법이 궁금해요.' · 등록도메인(PSL) samsungsvc.co.kr · viewport meta 있음,CANDIDATE_REGISTERED_DOMAIN_CONFLICT,True,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
svc_112f591a0d47a8d8,G마켓,APP,SERVICE_BRAND,wtg_f9fbd771ffcdbd42,[MOBILE UA] https://m.gmarket.co.kr/ → HTTP 403 · 페이지 제목 'G마켓 - 쇼핑을 바꾸는 쇼핑' · 등록도메인(PSL) gmarket.co.kr · viewport meta 있음,gmarket_app,ELIGIBLE_WEB,https://m.gmarket.co.kr/,MEDIUM,MEDIUM,gmarket.co.kr,0.0,1,"m.gmarket.co.kr/,www.gmarket.co.kr/",E-2,[MOBILE UA] https://m.gmarket.co.kr/ → HTTP 403 · 페이지 제목 'G마켓 - 쇼핑을 바꾸는 쇼핑' · 등록도메인(PSL) gmarket.co.kr · viewport meta 있음,"CANDIDATE_REGISTERED_DOMAIN_CONFLICT,LANDING_NOT_SEEN_BOT_BLOCKED",True,LANE_B shadow executor / 모바일·데스크톱 2 posture 관측 후 규칙 판정,2026-08-26,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
