panel_id,figure_id,table_index,domain,axis_type,source_chapter,source_section,source_section_title,source_chapter_title,table_title,subtitle,panel_label,period_label,period_axis,rows_expected,rows_extracted,row_count_verification,row_count_ok,metric_columns,n_metrics,universe_definition,source_note,footnotes,extraction_confidence,unreadable,panel_scope
fig01_t1,fig01,1,APP,SERVICE_BRAND,1,1,(1) 앱 사용자 및 사용시간 평균 TOP15,25년 하반기 액티브시니어+ 세대 앱 동향,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용자 평균 TOP15,사용자 평균 TOP15,TOP15,25년 하반기,HALF_YEAR,15,15,DECLARED_TOP_N,True,"[{""name"": ""사용자 평균"", ""unit"": ""만 명""}]",1,* 사용자 및 사용시간 평균 : 25년 7월부터 12월까지 각 앱의 액티브시니어+ 세대 (50대 이상) 월간 사용자 및 사용시간 평균,WISEAPP · RETAIL,"[""* 사용자 및 사용시간 평균 : 25년 7월부터 12월까지 각 앱의 액티브시니어+ 세대 (50대 이상) 월간 사용자 및 사용시간 평균""]",HIGH,[],FULL: 액티브시니어+ 세대 앱 사용자 평균 TOP15 (별도 선별 조건 없음)
fig01_t2,fig01,2,APP,SERVICE_BRAND,1,1,(1) 앱 사용자 및 사용시간 평균 TOP15,25년 하반기 액티브시니어+ 세대 앱 동향,액티브시니어+ 세대 앱 사용자 및 사용시간 평균* TOP15 — 사용시간 평균 TOP15,사용시간 평균 TOP15,TOP15,25년 하반기,HALF_YEAR,15,15,DECLARED_TOP_N,True,"[{""name"": ""사용시간 평균"", ""unit"": ""백만 분""}]",1,* 사용자 및 사용시간 평균 : 25년 7월부터 12월까지 각 앱의 액티브시니어+ 세대 (50대 이상) 월간 사용자 및 사용시간 평균,WISEAPP · RETAIL,"[""* 사용자 및 사용시간 평균 : 25년 7월부터 12월까지 각 앱의 액티브시니어+ 세대 (50대 이상) 월간 사용자 및 사용시간 평균""]",HIGH,[],FULL: 액티브시니어+ 세대 앱 사용시간 평균 TOP15 (별도 선별 조건 없음)
fig02_t1,fig02,1,APP,SERVICE_BRAND,1,2,(2) 앱 사용자 점유율 순위 TOP15,25년 하반기 액티브시니어+ 세대 앱 동향,액티브시니어+ 세대 앱 사용자 점유율* 순위 TOP15,,TOP15,25년 하반기,HALF_YEAR,15,15,DECLARED_TOP_N,True,"[{""name"": ""점유율 - 50대"", ""unit"": ""%""}, {""name"": ""점유율 - 60대 이상"", ""unit"": ""%""}, {""name"": ""점유율 합계"", ""unit"": ""%""}, {""name"": ""사용자"", ""unit"": ""만 명""}]",4,* 점유율 : 25년 하반기 액티브시니어+ 세대 앱 월간 사용자 평균이 200만 명 이상인 앱의 25년 하반기 전체 사용자 중 액티브시니어+ 세대 (50대 이상) 사용자 비율 / * 사용자 : 25년 하반기 각 앱별 액티브시니어+ 세대 월간 사용자 평균,WISEAPP · RETAIL (이미지 하단 워터마크/로고 표기),"[""* 점유율 : 25년 하반기 액티브시니어+ 세대 앱 월간 사용자 평균이 200만 명 이상인 앱의 25년 하반기 전체 사용자 중 액티브시니어+ 세대 (50대 이상) 사용자 비율"", ""* 사용자 : 25년 하반기 각 앱별 액티브시니어+ 세대 월간 사용자 평균"", ""범례: 50대 (주황) / 60대 이상 (보라)""]",HIGH,"[""10위 삼성 계산기: 막대 내 분할값 21.7 + 13.8 = 35.5 이나 합계 표기는 35.4% 로 되어 있음(이미지 표기 그대로 기록).""]",THRESHOLD: 25년 하반기 액티브시니어+ 세대 월간 사용자 평균 200만 명 이상인 앱
fig03_t1,fig03,1,APP,SERVICE_BRAND,1,3,(3) 앱 사용자 성장률 순위 TOP10,25년 하반기 액티브시니어+ 세대 앱 동향,액티브시니어 앱 사용자 성장률* 순위 TOP10,,TOP10,25년 하반기,HALF_YEAR,10,10,DECLARED_TOP_N,True,"[{""name"": ""성장률*"", ""unit"": ""%""}, {""name"": ""사용자 비율*"", ""unit"": ""%""}]",2,* 성장률 : 25년 하반기 액티브시니어+ 세대 앱 월간 사용자 평균이 200만 명 이상이면서 액티브시니어+ 세대 사용자 비율이 25% 이상인 앱의 24년 하반기 대비 25년 하반기 앱 사용자 합의 성장률 / * 사용자 비율 : 25년 하반기 전체 앱 사용자 대비 액티브시니어+ 세대 사용자 비율,"이미지 하단 워터마크/푸터: ""WISEAPP · RETAIL"" (와이즈앱·리테일). 별도 조사기관·표본 수 표기는 이미지에 없음.","[""* 성장률 : 25년 하반기 액티브시니어+ 세대 앱 월간 사용자 평균이 200만 명 이상이면서 액티브시니어+ 세대 사용자 비율이 25% 이상인 앱의 24년 하반기 대비 25년 하반기 앱 사용자 합의 성장률"", ""* 사용자 비율 : 25년 하반기 전체 앱 사용자 대비 액티브시니어+ 세대 사용자 비율"", ""사용자 비율 열에서 1위 모니모(37.1%)와 9위 캐시워크(38.6%)는 붉은색으로 강조 표시됨""]",HIGH,[],THRESHOLD: 월간 사용자 평균 200만 명 이상 + 액티브시니어+ 세대 비율 25% 이상인 앱
fig04_t1,fig04,1,APP,SERVICE_BRAND,2,1,(1) 사용자 비율이 높은 주요 금융 앱,25년 하반기 액티브시니어+ 세대가 많이 사용한 앱,액티브시니어+ 세대 앱 사용자 비율*,액티브시니어+ 세대 앱 사용자 비율이 높은 주요 금융 앱,"주요 금융 앱 5개 (순위 숫자 미표기, 좌→우 내림차순 배열)",25년 하반기,HALF_YEAR,,5,VISUAL_COUNT_ONLY,,"[{""name"": ""액티브시니어+ 세대 비율"", ""unit"": ""%""}, {""name"": ""그 외 세대 비율"", ""unit"": ""%""}]",2,* 액티브시니어+ 세대 앱 사용자 비율 : 25년 하반기 (25년 7월 ~ 12월) 전체 앱 사용자 합 대비 액티브시니어+ 세대 사용자 합 비율 / * 액티브시니어+ 세대 1인당 평균 실행횟수 : 25년 하반기 각 앱의 액티브시니어+ 세대 월간 총 실행횟수 합 기준,WISEAPP · RETAIL (이미지 하단 워터마크/로고 표기),"[""범례: 파란색 = 액티브시니어+ 세대 비율, 회색 = 그 외 세대 비율"", ""* 액티브시니어+ 세대 앱 사용자 비율 : 25년 하반기 (25년 7월 ~ 12월) 전체 앱 사용자 합 대비 액티브시니어+ 세대 사용자 합 비율""]",HIGH,"[""두 패널 모두 이미지에 순위 숫자(1,2,3…) 표기가 없다. rank는 이미지의 좌→우 배열 순서(값 내림차순)를 그대로 옮긴 것이다."", ""패널 1의 현대카드와 하나은행은 모두 35.0%로 동일 표기이며, 어느 쪽이 상위인지 구분 표기는 없다(배열 순서만 존재)."", ""하나은행 항목의 아이콘은 '1Q 하나원큐'로 표기되어 있으나 라벨 텍스트는 '하나은행'이다. 라벨 텍스트를 entity_name으로 사용했다."", ""조사 표본 규모(패널 수 등) 표기는 이미지에 없다. 기간 표기는 제목 옆 배지 '25년 하반기'와 각주의 '(25년 7월 ~ 12월)'뿐이다.""]",SUBSET: 액티브시니어+ 세대 앱 사용자 비율이 높은 '주요 금융 앱' 5개 (선별 기준 미공개)
fig04_t2,fig04,2,APP,SERVICE_BRAND,2,1,(1) 사용자 비율이 높은 주요 금융 앱,25년 하반기 액티브시니어+ 세대가 많이 사용한 앱,액티브시니어+ 세대 앱 1인당 평균 실행횟수*,상단 도넛차트와 동일한 주요 금융 앱 5개의 1인당 평균 실행횟수 막대차트,"주요 금융 앱 5개 (순위 숫자 미표기, 좌→우 내림차순 막대)",25년 하반기,HALF_YEAR,,5,VISUAL_COUNT_ONLY,,"[{""name"": ""1인당 평균 실행횟수"", ""unit"": ""회""}]",1,* 액티브시니어+ 세대 앱 사용자 비율 : 25년 하반기 (25년 7월 ~ 12월) 전체 앱 사용자 합 대비 액티브시니어+ 세대 사용자 합 비율 / * 액티브시니어+ 세대 1인당 평균 실행횟수 : 25년 하반기 각 앱의 액티브시니어+ 세대 월간 총 실행횟수 합 기준,WISEAPP · RETAIL (이미지 하단 워터마크/로고 표기),"[""* 액티브시니어+ 세대 1인당 평균 실행횟수 : 25년 하반기 각 앱의 액티브시니어+ 세대 월간 총 실행횟수 합 기준""]",HIGH,"[""두 패널 모두 이미지에 순위 숫자(1,2,3…) 표기가 없다. rank는 이미지의 좌→우 배열 순서(값 내림차순)를 그대로 옮긴 것이다."", ""패널 1의 현대카드와 하나은행은 모두 35.0%로 동일 표기이며, 어느 쪽이 상위인지 구분 표기는 없다(배열 순서만 존재)."", ""하나은행 항목의 아이콘은 '1Q 하나원큐'로 표기되어 있으나 라벨 텍스트는 '하나은행'이다. 라벨 텍스트를 entity_name으로 사용했다."", ""조사 표본 규모(패널 수 등) 표기는 이미지에 없다. 기간 표기는 제목 옆 배지 '25년 하반기'와 각주의 '(25년 7월 ~ 12월)'뿐이다.""]",SUBSET: 액티브시니어+ 세대 앱 사용자 비율이 높은 '주요 금융 앱' 5개 (선별 기준 미공개)
fig05_t1,fig05,1,APP,SERVICE_BRAND,2,2,(2) 사용자가 많이 성장한 주요 쇼핑 앱,25년 하반기 액티브시니어+ 세대가 많이 사용한 앱,액티브시니어+ 세대 앱 사용자 평균 및 성장률*,액티브시니어+ 세대 앱 사용자가 많이 성장한 주요 쇼핑 앱,"주요 쇼핑 앱 3개 (막대그래프, 24년 하반기 vs 25년 하반기)",25년 하반기,HALF_YEAR,,3,VISUAL_COUNT_ONLY,,"[{""name"": ""24년 하반기 월간 사용자 평균"", ""unit"": ""만명""}, {""name"": ""25년 하반기 월간 사용자 평균"", ""unit"": ""만명""}, {""name"": ""성장률"", ""unit"": ""%""}]",3,* 액티브시니어+ 세대 앱 사용자 평균 및 성장률 : 24년 하반기 액티브시니어+ 세대 월간 사용자 평균 대비 25년 하반기 액티브시니어+ 세대 월간 사용자 평균의 성장률 / * 액티브시니어+ 세대 1인당 평균 실행횟수 : 25년 하반기 각 앱의 액티브시니어+ 세대 월간 총 실행횟수 합 기준,WISEAPP · RETAIL (이미지 하단 워터마크),"[""* 액티브시니어+ 세대 앱 사용자 평균 및 성장률 : 24년 하반기 액티브시니어+ 세대 월간 사용자 평균 대비 25년 하반기 액티브시니어+ 세대 월간 사용자 평균의 성장률"", ""범례: 24년 하반기(회색) / 25년 하반기(보라색)"", ""rank는 이미지의 좌→우 배치 순서이며 순위 숫자 표기는 이미지에 없음""]",HIGH,[],SUBSET: 액티브시니어+ 세대 앱 사용자가 많이 성장한 '주요 쇼핑 앱' 3개 (선별 기준 미공개)
fig05_t2,fig05,2,APP,SERVICE_BRAND,2,2,(2) 사용자가 많이 성장한 주요 쇼핑 앱,25년 하반기 액티브시니어+ 세대가 많이 사용한 앱,액티브시니어+ 세대 앱 1인당 평균 실행횟수*,액티브시니어+ 세대 앱 사용자가 많이 성장한 주요 쇼핑 앱,주요 쇼핑 앱 3개 (막대그래프),25년 하반기,HALF_YEAR,,3,VISUAL_COUNT_ONLY,,"[{""name"": ""1인당 평균 실행횟수"", ""unit"": ""회""}]",1,* 액티브시니어+ 세대 앱 사용자 평균 및 성장률 : 24년 하반기 액티브시니어+ 세대 월간 사용자 평균 대비 25년 하반기 액티브시니어+ 세대 월간 사용자 평균의 성장률 / * 액티브시니어+ 세대 1인당 평균 실행횟수 : 25년 하반기 각 앱의 액티브시니어+ 세대 월간 총 실행횟수 합 기준,WISEAPP · RETAIL (이미지 하단 워터마크),"[""* 액티브시니어+ 세대 1인당 평균 실행횟수 : 25년 하반기 각 앱의 액티브시니어+ 세대 월간 총 실행횟수 합 기준"", ""rank는 이미지의 좌→우 배치 순서(값 내림차순)이며 순위 숫자 표기는 이미지에 없음""]",HIGH,[],SUBSET: 액티브시니어+ 세대 앱 사용자가 많이 성장한 '주요 쇼핑 앱' 3개 (선별 기준 미공개)
fig06_t1,fig06,1,RETAIL,SERVICE_BRAND,3,1,(1) 순 결제추정금액 합 인덱스 및 총 결제횟수 평균 TOP15,25년 하반기 액티브시니어+ 세대 결제 동향,순 결제추정금액 합 인덱스* TOP15,액티브시니어+ 세대 순 결제추정금액 합 인덱스 및 총 결제횟수 평균 TOP15,TOP15,25년 하반기,HALF_YEAR,15,15,DECLARED_TOP_N,True,"[{""name"": ""인덱스"", ""unit"": ""인덱스(쿠팡=100)""}]",1,액티브시니어+ 세대 (50대 이상),"WISEAPP · RETAIL (이미지 하단 워터마크 ""WISEAPP·RETAIL""). 측정기간 표기: 25년 하반기 / 각주에는 ""25년 7월부터 12월까지""","[""* 순 결제추정금액 합 인덱스 : 25년 7월부터 12월까지의 각 리테일 브랜드 액티브시니어+ 세대 (50대 이상) 순 결제추정금액 합의 인덱스로, 쿠팡의 순 결제추정금액 합을 100으로 두고 나머지 리테일 브랜드 값을 산출"", ""표 헤더 컬럼명: 리테일 브랜드 / 인덱스""]",HIGH,[],FULL: 액티브시니어+ 세대 순 결제추정금액 합 인덱스 TOP15 (별도 선별 조건 없음)
fig06_t2,fig06,2,RETAIL,SERVICE_BRAND,3,1,(1) 순 결제추정금액 합 인덱스 및 총 결제횟수 평균 TOP15,25년 하반기 액티브시니어+ 세대 결제 동향,총 결제횟수 평균* TOP15,액티브시니어+ 세대 순 결제추정금액 합 인덱스 및 총 결제횟수 평균 TOP15,TOP15,25년 하반기,HALF_YEAR,15,15,DECLARED_TOP_N,True,"[{""name"": ""총 결제횟수 평균"", ""unit"": ""백만 회""}]",1,액티브시니어+ 세대 (50대 이상),"WISEAPP · RETAIL (이미지 하단 워터마크 ""WISEAPP·RETAIL""). 측정기간 표기: 25년 하반기 / 각주에는 ""25년 7월부터 12월까지""","[""* 총 결제횟수 평균 : 25년 7월부터 12월까지 각 리테일 브랜드 액티브시니어+ 세대의 월간 총 결제횟수 합의 평균"", ""표 헤더 컬럼명: 리테일 브랜드 / 백만 회""]",HIGH,[],FULL: 액티브시니어+ 세대 총 결제횟수 평균 TOP15 (별도 선별 조건 없음)
