# 값이 non-null 이라고 OBSERVED 로 세지 않았다. browser-computed AX = 0/50.
# mart_sha256=5290e0c306ff7a11375f8da1ee0439e4a424559f18e7a6a662588e46be8f5caf
variable,source_field,OBSERVED_DIRECT,OBSERVED_SUPPLEMENT,DERIVED_POSTHOC,AMBIGUOUS,METHOD_FAILURE,NOT_OBSERVED,observed_n,denominator,assurance_class,note
task_path_evidence,evidence_hash,50,0,0,0,0,0,50,50,DESCRIPTIVE_VERIFIED,usable path evidence 는 terminal_reason 으로 별도 집계한다
entry_x_norm,entry_x_norm,0,8,0,0,0,42,8,50,DESCRIPTIVE_VERIFIED,
entry_y_norm,entry_y_norm,0,8,0,0,0,42,8,50,DESCRIPTIVE_VERIFIED,
entry_zone,entry_zone,0,8,0,0,0,42,8,50,DESCRIPTIVE_VERIFIED,
entry_control_type,entry_control_type,0,0,27,9,4,10,0,50,DESCRIPTIVE_VERIFIED,
task_flow_sequence,task_flow_sequence,28,0,0,0,0,22,28,50,DESCRIPTIVE_VERIFIED,빈 리스트 `[]` 22건은 결측 토큰이 아니지만 **관측된 스텝이 없다**. task 와 experienced 는 이 census 에서 분리되지 않았다
activation_depth,activation_depth,28,0,0,0,0,22,28,50,DESCRIPTIVE_VERIFIED,
menu_dependency,menu_dependency,28,0,0,0,0,22,28,50,DESCRIPTIVE_VERIFIED,
nav_container_type,nav_container_type,0,0,26,10,4,10,0,50,DESCRIPTIVE_VERIFIED,**E direct 0 · B 사후파생.** 이 축은 E 가 산출한 적이 없다
visible_label_text,visible_label,0,0,29,7,4,10,0,50,DESCRIPTIVE_VERIFIED,
accessible_name,accessible_name,0,0,28,0,22,0,0,50,DESCRIPTIVE_VERIFIED,**browser-computed AX 0/50.** 채워진 값은 visible text 복사다
label_relation,label_relation,0,0,50,0,0,0,0,50,DESCRIPTIVE_VERIFIED,관측이 아니라 규칙의 산물이다
auth_gate_stage,auth_gate_stage,8,0,0,0,0,42,8,50,DESCRIPTIVE_VERIFIED,
task_control_occlusion,task_control_occlusion,0,0,0,0,0,50,0,50,NOT_OBSERVABLE,**UNWIRED** — 50/50 전건 sentinel
reveal_direction,reveal_direction,0,0,0,0,0,50,0,50,NOT_OBSERVABLE,**UNWIRED** — 50/50 전건 sentinel
